               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.065442,            0.013181,           0.0093159,             0.65568,                 0.8,             0.78488,             0.36173,            0.060067,            0.010134,           0.0054964,            0.009307,            0.009307,            0.009307
                  37,            0.068236,            0.011967,           0.0090797,             0.64269,             0.79838,             0.82361,             0.27722,            0.056036,           0.0090898,           0.0059353,           0.0092872,           0.0092872,           0.0092872
                  38,            0.066579,            0.012448,            0.011884,             0.41709,             0.81667,             0.58469,             0.22428,            0.054951,            0.008962,           0.0058674,           0.0092674,           0.0092674,           0.0092674
                  39,            0.069522,             0.01141,            0.010552,             0.52102,             0.78015,             0.76321,             0.23607,            0.056334,           0.0081423,           0.0056967,           0.0092476,           0.0092476,           0.0092476
                  40,            0.066662,            0.012917,            0.011303,             0.45061,             0.81976,             0.67939,             0.41251,            0.045177,           0.0076184,           0.0052229,           0.0092278,           0.0092278,           0.0092278
                  41,            0.066489,            0.012258,           0.0091889,             0.41943,             0.68333,             0.60968,             0.10546,             0.06168,           0.0083482,           0.0051308,            0.009208,            0.009208,            0.009208
                  42,            0.071219,            0.011571,            0.011328,              0.3955,             0.88333,             0.49636,             0.23038,            0.047362,           0.0071847,           0.0045462,           0.0091882,           0.0091882,           0.0091882
                  43,            0.064504,            0.012143,                0.01,             0.65091,             0.89314,             0.88218,             0.53725,            0.049237,           0.0071293,            0.004057,           0.0091684,           0.0091684,           0.0091684
                  44,            0.058386,            0.011018,           0.0085388,             0.54634,             0.78333,              0.7624,                0.39,            0.052565,           0.0081093,            0.003711,           0.0091486,           0.0091486,           0.0091486
                  45,            0.063019,              0.0108,           0.0093218,             0.59598,             0.99969,             0.68957,             0.37266,            0.048088,           0.0079341,           0.0037254,           0.0091288,           0.0091288,           0.0091288
                  46,            0.058105,           0.0097574,           0.0084403,             0.50534,             0.81622,              0.7863,             0.23991,            0.057453,           0.0088835,           0.0034901,            0.009109,            0.009109,            0.009109
                  47,            0.070985,            0.010441,           0.0090762,             0.95358,             0.99567,               0.995,             0.38837,            0.051152,           0.0072348,           0.0035044,           0.0090892,           0.0090892,           0.0090892
                  48,             0.06494,            0.011869,           0.0084372,             0.65152,             0.96667,             0.86331,             0.40179,            0.046247,            0.007017,           0.0033409,           0.0090694,           0.0090694,           0.0090694
